id	Ann_short_1	Ann_short_2	Ann_short_3	Ann_short_4	Ann_short_5	Ann_short_6	Ann_short_7	Ann_short_8	Ann_short_9	Ann_short_10
130006D1	27.0003468473096	27.8026767043932	27.8128781756849	28.0909833098878	28.0884749033654	28.3256487820697	27.9476563462722	27.684064165158	27.3395988521972	27.1547771176691
130008D1	30.266679737749	30.6864692297766	30.8678626894357	30.8048334751668	30.8500308928636	30.788213988915	30.4469218214624	30.5552731052379	30.3446536519029	30.1488170622438
130009D1	29.5104129608824	30.0693323979765	30.150571633574	30.2619139545538	30.2325423274352	30.2017823144868	29.7248544431366	29.8865681960091	29.7492752562976	29.6290066950958
130010D1	26.2123393394548	26.4050150918661	26.4256525983463	26.5572927853508	26.1748589866206	26.2108717553942	26.1262918487734	25.9972130479805	26.1266430166003	26.3313025380598
130011D1	25.7581170566151	26.1598118244385	26.7016736481737	27.0326460031634	27.1918724708575	26.9050922132594	26.7477688169671	26.810828866544	26.8374012142557	26.8580822226515
130012D1	26.1936634146944	26.9279912712941	27.2215379720986	27.1500733238003	27.1359313013715	27.0872146535479	27.0438979515904	27.0642859076634	26.9426507396215	26.8433386959403
130013D1	30.37425293719	30.7400957089716	30.930048050399	31.0541607283625	31.025136273105	31.0275007871234	30.7056634250699	30.8335213573499	30.6736618459833	30.4123881188826
110002T1	29.9742539415435	30.416505209086	30.5648743883773	30.4957717957016	30.5755219496456	30.5015463124399	30.0111362399921	30.2358987690611	30.0938900590951	30.0159725847159
110003T1	30.3305794022762	30.7215744965087	30.9290889962836	30.8935093903911	30.9540713127039	30.9152353993188	30.5660949134869	30.7253806455553	30.6056601020277	30.3311239919789
110004T1	30.6486023188151	30.9865809174526	31.1416500762555	31.1608477713156	31.0905052118884	31.0782629478721	30.6642750562745	30.7786016592694	30.3597388731652	29.9429075088137
110005T1	28.7332769282406	29.1662269286685	29.1979122109988	29.2339742443875	29.0148716787805	29.1238820623837	29.069215589669	28.384264804404	28.819632758015	28.4974664157776
110006T1	27.6163171897458	27.7759284346691	27.9482337693343	27.9761418284037	28.0959151145008	28.0636304369756	27.7474379270619	27.8110561078322	27.757719001039	27.8937199815296
110007T1	27.4880746239961	27.8944116392619	27.9811024961419	27.9398343409789	28.0621337015058	27.9212598745664	27.7434620975433	28.1427518038354	27.5871246742155	27.5828800491855
110008T1	26.7356995905075	27.2643566830966	27.1908425127533	27.6514779353884	27.3905320735135	27.1198801711615	27.050273757759	27.3037693757739	27.2486401051853	27.106366170348
110009T1	26.9230904153999	27.5149446687427	27.6134608048219	27.7053069248581	27.951781377439	27.6948581780437	27.5749698931964	27.5894609403135	27.5494971911387	27.4443549843203
1100011T1	30.1951312091448	30.688588813053	30.9034418137562	31.0986132425949	31.1254462264364	31.2590866084771	30.9451098347657	30.8513718682027	31.1141393835537	30.8976315829311
130001D1	27.8784748437806	28.4453931527876	28.6750571173532	28.8561947551589	28.8128944330702	28.7926153695127	28.7675763959027	28.6762008800278	28.6913894684367	28.471843914857
130002D1	27.3260312639345	27.6720756388286	27.9259029611712	28.0461339897722	28.1361767998302	28.1014993279442	27.7943322915411	28.0392599616713	28.0482870271485	27.8543106263792
130005D1	28.9942893364892	29.532100993941	29.7069377495531	29.8860653630516	29.8701860305534	29.9283967594777	29.6356931485578	29.6254366718783	29.6106937896236	29.2499388386801
120003B1	28.199525653727	28.6267274010414	28.753732355493	28.8648454105819	28.7991565754545	28.7217746825468	28.5536500336351	28.3954785194032	28.4621716478017	28.0570748432775
120007B1	29.2290580704852	29.6772653407204	29.7824869571632	29.8084115447814	29.6795519221664	29.687065759743	29.2012014021772	29.480569170804	29.2525595684467	28.9882012065096
120008B1	27.9990029300807	28.3284642226012	28.4961274306888	28.5398592467136	28.4238417645611	28.2930019747132	28.0643013047568	27.919994540813	27.7327486513733	27.1368161025376
120012B1	28.0723983400972	28.7803350419704	28.9261186299701	28.9986228888216	28.9226448427357	28.9370010998294	28.5742220279366	28.5664263281754	28.6496978604135	28.4240374536453
120017B1	26.5862045978521	26.8503627873961	27.0946841011625	27.3474644823304	27.2257851367398	27.1134026863942	27.118651087861	27.2857692744335	27.2661365160993	27.3015898469528
120018B1	28.7762743337361	29.0768637183329	29.2119708915119	29.3449042712495	29.1035263736169	29.1718860045428	29.091781087892	28.8348547592479	29.1076206070299	28.6873133389969
120019B1	27.8930182637224	28.0366795426509	28.0273104232069	28.1697632441143	27.9311737878549	27.890341321237	27.8656680068531	27.6232840014552	27.6417910160758	27.4443549843203
120020B1	28.8073179207442	29.1796184144312	29.2773330505343	29.4261526250321	29.3821262606326	29.331977175808	29.0413434393132	28.9907269741948	28.9591506730524	28.7810665999936
220022B1	29.6479593588219	29.90001800042	29.995471518267	30.0211891961281	29.86350767866	29.7702950244382	29.3414032143158	29.4975489979472	28.4314321644262	27.847026134071
220024B1	26.8652592242764	27.2643566830966	27.2810586007552	27.4991529828717	27.5113167143991	27.3308555122275	26.9785806767502	26.7939333730443	27.1134226352608	27.1247144672786
220025B1	26.5862045978521	27.2311931042232	27.4306078347128	27.4484243152662	27.1287866440089	27.1391495053673	26.8459195053322	26.8684483420753	26.7238834282415	26.3098769044803
220026B1	27.2825077508706	27.5423299384624	27.6815261107516	27.9109518285887	27.6382056610795	27.6406650724867	27.2850863151971	27.4128219809911	27.1515719698462	26.7750277457866
220027B1	27.8637833212926	28.2356239858775	28.1987764732594	28.4247444264204	28.1469686362814	27.9440450649122	27.8656680068531	27.6516556725445	27.1887404382047	26.9155698403696
220028B1	29.3894624066389	29.7483158907311	29.8593173817833	29.9061583156639	29.7950012822176	29.7680115366498	29.384018839369	29.254852643721	28.9023336348542	28.4433538361757
220029B1	27.2957032243322	27.599967065896	27.7252020613683	27.7847491083223	27.3965143141228	27.3642692623435	27.1307506347334	27.1792840886513	26.706913714979	26.277119041498
220030B1	27.2146569223482	27.3285160643753	27.6410687708959	27.7618328958712	27.7456242640519	27.3081667711793	27.1367634832386	27.4017242173691	27.0609385239801	26.7195246391305
220031B1	28.460022680089	28.8997863127383	28.9671327188674	29.2880892490408	29.2679272226529	29.1969952448337	28.9942592422591	29.0090754932096	28.9840958479905	28.7073629089594
320038B1	31.8640601681366	32.3782683517021	32.5772626498601	32.6838919924489	32.7290646961737	32.8040086681535	32.4593420682496	32.4708548399775	32.4358810800998	32.2317731669444
320039B1	32.2883643904046	32.6778574895034	32.8310117000392	32.8865139373357	32.9291177152921	32.9894060508563	32.5185068727822	32.6149101557424	32.4020656428548	32.1639871992143
320040B1	32.4572728846043	32.9473302041961	33.1025273357003	33.0890199146255	33.140941931947	33.1469819392849	32.5776681811187	32.6488875984451	32.0250777718717	31.5553229114104
320041B1	33.1117496936386	33.5795981560703	33.722695304532	33.7518985582658	33.8238442254932	33.9129524176318	33.4287532255434	33.4603007043278	33.3352269521097	33.0255619959681
320042B1	31.4491149393346	32.0258334243781	32.1038113033689	32.136963310662	32.0871541661637	32.0523856567367	31.4952118066367	31.5920298261024	30.9717440242469	30.4319969045586
320043B1	33.5094399101818	33.9182264344577	34.0887333604208	34.1799646136348	34.2575673428069	34.4136062149361	34.0017676038298	34.0439910683127	34.2619307447146	34.2353862589671
320044B1	31.8642447031894	32.1973537810697	32.4135638931824	32.3952007568601	32.4204768803611	32.4186087337576	31.9322482851593	32.0716886538399	31.8492489180087	31.5683594917968
320045B1	31.0082171781184	31.4940729360118	31.647588951136	31.8994436147996	31.8373583790812	31.9216453568738	31.7145603887706	31.7693833962866	32.0555800958794	32.0847244240354
320046B1	31.1932227850017	31.6090114562844	31.7456927542535	31.8618588569037	31.8475257242679	31.9391303474067	31.5438351383487	31.6753109270193	31.7271351903349	31.6893725337151
320047B1	32.1118662640663	32.5464814834648	32.4740845092681	32.5355036981547	32.3095272880698	32.4656646457686	32.2448868085202	31.6308854455475	31.6532233880079	31.2489213077628
320048B1	32.3796203289519	32.7725639175363	32.9038919934162	33.0158997290943	33.0599369534658	33.1517316492589	32.7460748788358	32.8044339819109	32.9092589435582	32.8102985788817
320049B1	31.6373089388001	31.9734083995721	32.1140752872553	32.1419027669553	32.1495187456409	32.1210313612332	31.7377222532859	31.7532229147054	31.5216768487634	31.2690139939298
320050B1	33.0622597806619	33.4737446399258	33.6444325985421	33.6416735847004	33.71396470382	33.7968743883808	33.313044261436	33.4047297139451	33.2911880535212	33.1080484144476
320051B1	33.4565081214635	33.9188121097404	34.0549434222563	34.0383645901465	34.1354509279287	34.2193527171604	33.7052921500449	33.7614798660431	33.6882569533017	33.4770917771911
320052B1	31.6175218541381	32.0217845063291	32.1713231918987	32.1665707147695	32.1840031818818	32.1659328775448	31.7302209406948	31.8315002192832	31.5050926767714	31.2575202340917
320053B1	31.5692123222337	31.9440030752701	32.0462556760051	32.0721089519082	32.0625994885603	32.0262833078155	31.6319474368435	31.7225623857057	31.4435698646237	31.1955145353131
420054B1	32.6297848766966	33.0560650609974	33.164230356209	33.259202834039	33.2801190676818	33.2972098573305	32.838518285934	33.0303716677386	32.8626749150943	32.6544211108921
420055B1	31.9683431796122	32.3927567629731	32.5816008897581	32.678796488097	32.70647673817	32.7380500104438	32.3727034341295	32.4927317625443	32.5337358670487	32.436988493925
420056B1	31.9787777042897	32.45059551672	32.578813501119	32.6924980745716	32.7246066642582	32.7906318230967	32.3779122098237	32.5523993740844	32.4831259384885	32.3183282957981
420057B1	32.8281374922505	33.233230500089	33.4033728571701	33.44364833924	33.4930223506791	33.6102653732705	33.1407622871284	33.1989726457771	33.0086707181535	32.7763563642823
420058B1	29.7141573288191	30.1494798000797	30.3238118294333	30.524829939281	30.5844319873083	30.5529883659363	30.253799063148	30.3160261755455	30.1470113159139	29.9236153783517
420059B1	30.7407337746961	31.2737580847077	31.5195459652362	31.6193376563942	31.7057092983779	31.7000472375679	31.2277836203915	31.4551455859146	31.2036069353574	30.9685006644126
420060B1	30.7547367483089	31.4003224304081	31.6035257166517	31.7154449806079	31.8055343216701	31.8194924431073	31.3976046883902	31.5752697733485	31.3883814840141	31.2449349202101
420061B1	31.070000375601	31.5168292587669	31.7260919731222	31.8089560053166	31.8285872156797	31.8786169047666	31.443631521585	31.6067988607859	31.3860356106515	31.1248926351904
420062B1	31.9253030704161	32.3495378818939	32.5358725429937	32.5762526636914	32.6040305874373	32.6067601723492	32.1468923309244	32.3081834024282	31.9207301734689	31.6075383846431
420063B1	32.8372846187139	33.3077403781749	33.4524211764566	33.5079499841656	33.5354325613982	33.6169990794638	33.1271458213253	33.2292032231213	33.0100892497352	32.7870508244247
420064B1	31.8727079005617	32.6142810234699	32.7314447744868	32.8148170813009	32.8616859561062	32.9797997354595	32.5315301471704	32.519220778158	32.592276291626	32.432819538446
420065B1	31.8794794107115	32.722339210617	32.8122418127233	32.9083254922385	32.9447141920796	33.0996880592854	32.6097218669831	32.5958824274022	32.7639707994647	32.6078556251191
420066B1	32.0659146662826	32.7652546616052	32.900165169969	32.899454344104	32.890883277128	32.9628066786646	32.4446705198906	32.4395902248333	32.041582024805	31.6421486858454
420067B1	32.2811953621187	32.7147747157451	32.8916823252148	32.9959098135456	33.0037834205555	33.1116494619421	32.6786212049779	32.8016914193972	32.7704216785392	32.5883799701054
420068B1	31.630381737959	32.0948367501247	32.2236463717743	32.3526214884513	32.3543011427148	32.4611610044918	32.0288296846188	32.0734243331621	31.965220750668	31.7101328494623
420069B1	31.8611043926415	32.2688514980288	32.3897650123985	32.48369615889	32.498938385761	32.5160515297627	32.1246391409237	32.2594780502851	32.1878055826327	31.9763498004085
520070B1	30.6567217732372	31.234871028445	31.4256685907306	31.5170832790157	31.6166733524194	31.6769623909867	31.2049724537915	31.3094013003555	31.1406121843594	30.9308128707804
520071B1	28.9996750451829	29.5239246064179	29.6846144015473	29.8504901606477	29.9700007893508	29.9045503627433	29.5838603050687	29.7208141813742	29.4726054055907	29.3227280085882
520072B1	29.7263905426554	30.2768417467225	30.4234329625896	30.5989313643746	30.5980351942992	30.5536718050524	30.188215570219	30.3299287642049	30.0007724093708	29.756185387746
520073B1	32.3275712100578	32.7822532832015	32.9232420707	33.0299244115926	33.0037834205555	33.0637604564192	32.6328037422531	32.7195178910446	32.5372191344304	32.2009154626172
520074B1	32.7024905056766	33.1407670346843	33.3137844702629	33.4046434765541	33.4443761463279	33.501562739214	33.0797163408296	33.2010541159561	33.0729418191665	32.8885289356712
520075B1	31.3577022592939	31.7929240243597	31.960056278297	32.1463786024921	32.166862032038	32.1673595735604	31.8175655476043	31.9415884103485	31.9041848854641	31.7348390576715
520076B1	32.8947807619946	33.2890599670266	33.4500331019049	33.5024438987762	33.5423987785913	33.6121131774134	33.146545025495	33.2480195510744	33.0217122807581	32.732403782474
520077B1	32.7891122589782	33.2354713669071	33.4255879253999	33.5341429222438	33.5908792043341	33.680370514545	33.2442453485692	33.3356954063439	33.2943273700586	33.1122456340585
520078B1	32.0750315056383	32.5454365198282	32.7265498747946	32.8460194917544	32.9311975891492	33.0165050333898	32.6095736877764	32.7043522402331	32.7082128653663	32.6482505346198
520079B1	32.6363908331037	33.3873383109677	33.5099052477709	33.6396838479135	33.7204603692121	33.921573084815	33.4211549455817	33.4177390057733	33.6445516553929	33.5368981130284
520080B1	32.766582700452	33.5445761422305	33.6656474303541	33.6201997672765	33.5744188517839	33.6466229369904	33.100488058586	33.0844331010059	32.4053835819644	31.7350745406726
520081B1	31.4335301191281	32.293881361423	32.3950482077028	32.5690954413702	32.5827616838965	32.7083146933867	32.2747355878616	32.2941161389255	32.4678131044537	32.3304499904747
520082B1	31.7368086192109	32.1109897991147	32.3323721226471	32.4259185183055	32.446520702616	32.487793177546	32.0710189536472	32.2025399218421	31.8204811383942	31.5799645641155
520083B1	32.7802404072112	33.191625542273	33.3236836098466	33.3121899514093	33.3221385261643	33.2566223952523	32.7701985092987	32.8251598412284	32.0560021712362	31.5694184310046
520084B1	31.5001185174854	31.9126176032968	32.1337587814319	32.1973114634919	32.2600708384573	32.2938818364066	31.8751664368972	32.052016644681	31.8431498648803	31.7320102078
520085B1	30.8676543510039	31.4100688748303	31.5417864836208	31.6254348976293	31.7015590647258	31.7122607098251	31.3487090896378	31.3739302289848	31.1595651447172	30.9191410217605
620087B1	31.8905743213552	32.4917512608626	32.683185223044	32.8090323857759	32.8700873615719	32.9544517657627	32.5025029848602	32.5752234116467	32.4813975629919	32.3111307358629
620088B1	30.7717563933647	31.3102551091166	31.5128072192856	31.6391398152119	31.6832223513071	31.6955228153794	31.3035274315492	31.4292584377844	31.4023773438456	31.2657395560947
620121B1	33.0695603161051	33.7446181898284	33.9076998735659	34.0209659211022	34.1580659318935	34.3193897989346	33.8058330253714	33.8886190240471	33.8827902614364	33.7502370029104
620122B1	32.9105024215405	33.2907680500759	33.4311325234848	33.4768247882519	33.5005682530822	33.6046157305757	33.1342295593469	33.2220953888228	33.1096469173523	32.9445191582378
620123B1	32.8146413830373	33.2219745309141	33.3779477615248	33.4321119922864	33.4981200789242	33.5735898788788	33.0934540913637	33.1637291556172	33.0761753514329	32.8412902495332
620124B1	31.0969466826703	31.6901345720219	31.8189607070708	31.8989135031112	31.8886329567874	31.9324929683314	31.3959220526456	31.5920298261024	31.2555527660241	31.0698947101997
620125B1	31.4260491843419	32.0089245850068	32.1348095556741	32.173824092485	32.1154132213399	32.1136639961068	31.5885475067414	31.6875535601244	31.0026795818569	30.5621545980204
620126B1	32.689323165248	33.1790752605734	33.343190992102	33.4078252705399	33.4810584838632	33.577561765651	33.1461327219063	33.2058992044084	33.1746432385405	32.9804914562151
620127B1	32.7100050954801	33.1839150069669	33.3164994001373	33.3947729652705	33.4293443941493	33.5582679478671	33.0866011701233	33.161694751564	33.0374224898656	32.8635663224592
620128B1	33.8394685104464	34.2719222069129	34.3982543001013	34.3798087199258	34.3549776541156	34.4325061852234	33.8724731774512	33.8901538577081	33.2372155805784	32.6790804686798
620129B1	31.2366327906614	31.7087430273933	31.8301324404538	31.9702931501726	31.9739426911039	32.0503343260316	31.7210607456275	31.8335509221929	31.8207294582012	31.7381322670898
620130B1	29.7255782143451	30.1263581488961	30.0384685584164	30.1438787530966	29.895509080989	29.9629800193777	29.7871166985289	29.2206355308683	29.024165212362	28.5226342254018
620089B1	32.8017887809653	33.2767752735241	33.4189762553362	33.5220130629066	33.6217852120517	33.7358630090786	33.3057514978847	33.29535712366	33.3168196428021	33.0381134264193
620090B1	31.3847105692978	31.7778817011371	31.9496004112845	32.0337360565172	32.0124837520526	32.1055186560646	31.7840214890915	31.6510904034345	31.7994685144174	31.569683042316
